,p1,p2,p3,p4,p5
maleAgeClass 1,0,0,0,0,0
maleAgeClass 2,0,0,0,0,0
maleAgeClass 3,68.46875,68.46875,68.46875,68.46875,68.46875
maleAgeClass 4,70.575,70.575,70.575,70.575,70.575
maleAgeClass 5,63.85,63.85,63.85,63.85,63.85
maleAgeClass 6,36,36,36,36,36
maleAgeClass 7,7.5,7.5,7.5,7.5,7.5
maleAgeClass 8,3.125,3.125,3.125,3.125,3.125
femaleAgeClass 1,0,0,0,0,0
femaleAgeClass 2,0,0,0,0,0
femaleAgeClass 3,40.3,40.3,40.3,40.3,40.3
femaleAgeClass 4,41.3,41.3,41.3,41.3,41.3
femaleAgeClass 5,42.1875,42.1875,42.1875,42.1875,42.1875
femaleAgeClass 6,18.46875,18.46875,18.46875,18.46875,18.46875
femaleAgeClass 7,3.75,3.75,3.75,3.75,3.75
femaleAgeClass 8,1.25,1.25,1.25,1.25,1.25